cost_type,amount,time,stage_name
processing,42000.0,5456.9639,Packing
wip_holding,360.0,5456.9639,Packing
processing,60966.9476,5484.0596,Final_Inspection
wip_holding,1648.2135,5484.0596,Final_Inspection
processing,42000.0,5544.0596,Packing
wip_holding,360.0,5544.0596,Packing
processing,82403.8842,5601.7794,Final_Inspection
wip_holding,2140.7127,5601.7794,Final_Inspection
processing,42000.0,5661.7794,Packing
wip_holding,360.0,5661.7794,Packing
processing,163108.6989,5677.1381,Round_Grinding
wip_holding,1398.0746,5677.1381,Round_Grinding
processing,195877.4928,5711.4683,Turning_Milling
wip_holding,1678.9499,5711.4683,Turning_Milling
processing,90305.9478,5730.7879,Final_Inspection
wip_holding,2376.4383,5730.7879,Final_Inspection
processing,10095.3995,5745.2099,Final_Inspection
wip_holding,408.4306,5745.2099,Final_Inspection
processing,36159.6044,5763.1249,QC_Turning
wip_holding,309.9395,5763.1249,QC_Turning
processing,42000.0,5790.7879,Packing
wip_holding,360.0,5790.7879,Packing
processing,39001.8161,5818.8418,Laser_Marking
wip_holding,334.3013,5818.8418,Laser_Marking
processing,42000.0,5850.7879,Packing
wip_holding,633.468,5850.7879,Packing
processing,30518.7537,5862.44,Lapping
wip_holding,261.5893,5862.44,Lapping
processing,167285.3777,6101.4191,Round_Grinding
wip_holding,1433.8747,6101.4191,Round_Grinding
processing,28878.5489,6142.6742,Final_Inspection
wip_holding,247.5304,6142.6742,Final_Inspection
processing,42000.0,6202.6742,Packing
wip_holding,360.0,6202.6742,Packing
processing,175579.4666,6382.5927,Turning_Milling
wip_holding,1504.9669,6382.5927,Turning_Milling
processing,136698.8995,6577.8769,QC_Turning
wip_holding,1171.7049,6577.8769,QC_Turning
processing,18366.0094,6604.114,Laser_Marking
wip_holding,157.4229,6604.114,Laser_Marking
processing,18262.0749,6630.2027,Lapping
wip_holding,156.5321,6630.2027,Lapping
processing,34599.5,6679.6306,Round_Grinding
wip_holding,296.5671,6679.6306,Round_Grinding
processing,22109.2058,6711.2152,Final_Inspection
wip_holding,189.5075,6711.2152,Final_Inspection
defect,90000.0,6711.2152,Final_Inspection
processing,42000.0,6771.2152,Packing
wip_holding,360.0,6771.2152,Packing
processing,76028.5987,7142.5641,Turning_Milling
wip_holding,651.6737,7142.5641,Turning_Milling
processing,178692.7323,7397.8395,QC_Turning
wip_holding,1531.652,7397.8395,QC_Turning
processing,25005.0289,7433.5609,Laser_Marking
wip_holding,214.3288,7433.5609,Laser_Marking
processing,93420.3698,7567.0186,Lapping
wip_holding,800.746,7567.0186,Lapping
processing,286384.4693,7976.1393,Round_Grinding
wip_holding,2454.724,7976.1393,Round_Grinding
processing,160806.8288,8097.831,Turning_Milling
wip_holding,1378.3442,8097.831,Turning_Milling
processing,129951.0693,8161.7836,Final_Inspection
wip_holding,1113.8663,8161.7836,Final_Inspection
processing,57268.7296,8179.6434,QC_Turning
wip_holding,490.8748,8179.6434,QC_Turning
processing,21858.4045,8210.8697,Laser_Marking
wip_holding,187.3578,8210.8697,Laser_Marking
processing,42000.0,8221.7836,Packing
wip_holding,360.0,8221.7836,Packing
processing,26544.5859,8248.7906,Lapping
wip_holding,227.525,8248.7906,Lapping
