product_id,arrival_time,completion_time,cycle_time_min,defect_found
152,81516.3727,82480.9388,964.5661,False
153,81595.4474,82547.4325,951.9852,False
154,81816.51,82863.8883,1047.3784,False
155,81958.3842,82950.4585,992.0744,False
157,82652.3221,83568.6056,916.2835,False
158,83265.7549,84200.286,934.531,False
156,82609.5559,84308.5773,1699.0214,False
159,84048.6233,84717.191,668.5677,False
160,85241.9617,86276.8552,1034.8935,False
161,86081.3198,87075.5441,994.2243,False
162,86221.4631,87290.2332,1068.7701,False
163,86352.9229,87421.1592,1068.2363,False
165,86843.129,87769.431,926.3019,False
164,86575.1941,87980.9059,1405.7118,False
166,87369.13,88040.9059,671.7759,False
167,87797.3838,88607.0416,809.6578,False
168,88400.5774,89592.2199,1191.6425,False
169,89094.3223,89788.7673,694.445,False
170,89610.7427,90720.3546,1109.6118,False
171,89853.5515,90780.3546,926.8031,False
173,90366.2012,90992.6022,626.401,False
172,89896.1932,91210.6714,1314.4782,False
174,91536.1267,92237.1394,701.0127,False
175,92629.35,93413.1738,783.8238,False
176,92831.7907,93473.1738,641.3831,False
177,93497.4323,94491.2998,993.8675,False
180,94881.7481,95743.014,861.2659,False
181,95248.6703,95923.4317,674.7615,False
179,94720.4551,95983.4317,1262.9767,False
178,94624.6932,96153.7157,1529.0225,False
182,95669.3031,96951.8746,1282.5715,False
183,96490.0256,97144.1594,654.1338,False
184,97139.2182,98488.1463,1348.9282,False
186,97846.3382,98696.4041,850.0658,False
187,97968.0038,98762.1425,794.1387,False
188,98166.1479,98822.8254,656.6775,True
190,98431.4925,98882.8254,451.3329,False
189,98365.0635,99407.8474,1042.7839,False
191,98959.9977,99740.8715,780.8738,False
185,97696.0391,99814.2634,2118.2244,False
192,99209.4265,99874.2634,664.8369,False
196,100173.4649,100870.8063,697.3414,False
195,100120.1963,101279.4616,1159.2653,False
197,100392.9449,101349.4402,956.4953,False
193,99954.1347,101409.4402,1455.3055,False
194,100078.0084,101469.4402,1391.4318,False
198,100419.002,101702.0782,1283.0762,False
199,101223.5571,102224.9533,1001.3962,False
200,102497.9034,103056.8641,558.9607,False
201,102769.5313,103571.3985,801.8672,False
202,103765.2226,104707.3275,942.1049,False
203,104433.0217,104767.3275,334.3059,False
204,105585.7128,106872.1804,1286.4677,False
205,106134.4674,106951.4252,816.9578,False
206,106647.3692,107480.5699,833.2007,False
207,107322.7889,108052.1718,729.3829,True
208,108022.5243,109182.2535,1159.7292,False
209,108459.4755,109390.5858,931.1103,False
213,109308.9504,110162.641,853.6906,False
210,109192.0351,110222.641,1030.6059,False
212,109282.1428,110321.1594,1039.0166,False
211,109279.8056,110473.7211,1193.9155,False
214,109797.9694,111012.0589,1214.0895,False
216,110892.9368,111577.8174,684.8806,True
217,111401.9207,112264.6537,862.7329,False
218,112051.246,112905.8386,854.5926,False
220,112277.5337,112965.8386,688.3049,False
215,110342.5248,113041.0627,2698.5379,False
219,112268.5488,113434.6349,1166.0862,False
223,115004.5615,115626.0993,621.5378,False
221,114903.4553,115921.631,1018.1756,False
222,114911.5733,116254.3505,1342.7772,True
224,115689.2838,116503.0505,813.7667,False
225,115922.8632,116966.6113,1043.748,False
226,115985.1245,117645.3265,1660.2021,False
228,117413.0044,118252.3612,839.3568,False
230,117667.194,118312.3612,645.1672,False
229,117414.8844,118372.3612,957.4768,False
227,116106.8703,118931.7609,2824.8905,False
231,118259.4001,119099.83,840.4299,False
232,119185.5358,119874.5777,689.0419,False
233,120764.359,121554.5772,790.2181,False
234,120947.9755,121881.9082,933.9327,False
235,120972.9868,122510.0761,1537.0893,False
237,121963.4768,122809.0591,845.5822,False
236,121203.9071,122883.3057,1679.3986,False
238,122471.6512,124281.8016,1810.1505,False
239,122825.8694,124341.8016,1515.9322,False
240,123705.3335,124550.8113,845.4778,False
241,123963.5807,124757.6789,794.0981,False
242,124341.5207,124930.6578,589.1371,False
243,124930.928,125617.8681,686.9402,False
244,125323.6276,126853.0477,1529.4201,False
